# D2Common.dll Data Todo List
# Format: [ ] name @ address (N xrefs)
# Generated by extract_ghidra_data_REST.ps1 on 10/16/2025 01:22:55
# Using list_data_items_by_xrefs endpoint (v1.7.4+)
# Total data items: 5000
# Total items fetched: 5000
# Sorted by xref count (highest first)
# Items with 0 xrefs excluded by API
#

[X] GlobalDataTables @ 6fde9e1c (511 xrefs)
[ ] DAT_6fde99b8 @ 6fde99b8 (2 xrefs)
[ ] PTR___cfltcvt_6fde9a68 @ 6fde9a68 (2 xrefs)
[ ] PTR___cropzeros_6fde9a6c @ 6fde9a6c (2 xrefs)
[ ] PTR___forcdecpt_6fde9a74 @ 6fde9a74 (2 xrefs)
[ ] DAT_6fde9bc4 @ 6fde9bc4 (2 xrefs)
[ ] PTR_DAT_6fde9c2c @ 6fde9c2c (2 xrefs)
[ ] DAT_6fde9e18 @ 6fde9e18 (2 xrefs)
[ ] s_Sample_6fde9e60 @ 6fde9e60 (2 xrefs)
[ ] DAT_6fde9f40 @ 6fde9f40 (2 xrefs)
[ ] DAT_6fde9f48 @ 6fde9f48 (2 xrefs)
[ ] DAT_6fdeb169 @ 6fdeb169 (2 xrefs)
[ ] DAT_6fdeb178 @ 6fdeb178 (2 xrefs)
[ ] DAT_6fdeb17c @ 6fdeb17c (2 xrefs)
[ ] DAT_6fdeb1b0 @ 6fdeb1b0 (2 xrefs)
[ ] DAT_6fdeb1f9 @ 6fdeb1f9 (2 xrefs)
[ ] DAT_6fdeb208 @ 6fdeb208 (2 xrefs)
[ ] PTR_DAT_6fdeef88 @ 6fdeef88 (2 xrefs)
[ ] DAT_6fdeefa0 @ 6fdeefa0 (2 xrefs)
[ ] DAT_6fdeefa4 @ 6fdeefa4 (2 xrefs)
[ ] DAT_6fdeefc8 @ 6fdeefc8 (2 xrefs)
[ ] DAT_6fdeefcc @ 6fdeefcc (2 xrefs)
[ ] DAT_6fdeefe4 @ 6fdeefe4 (2 xrefs)
[ ] DAT_6fdef06c @ 6fdef06c (2 xrefs)
[ ] DAT_6fdef070 @ 6fdef070 (2 xrefs)
[ ] DAT_6fdef078 @ 6fdef078 (2 xrefs)
[ ] DAT_6fdef07c @ 6fdef07c (2 xrefs)
[ ] DAT_6fdef090 @ 6fdef090 (2 xrefs)
[ ] DAT_6fdef094 @ 6fdef094 (2 xrefs)
[ ] DAT_6fdef5dc @ 6fdef5dc (2 xrefs)
[ ] DAT_6fdef5e0 @ 6fdef5e0 (2 xrefs)
[ ] DAT_6fdef5e4 @ 6fdef5e4 (2 xrefs)
[ ] s_C:\Diablo2Project\ProjectD2\Game_6fdef780 @ 6fdef780 (2 xrefs)
[ ] DAT_6fdef920 @ 6fdef920 (2 xrefs)
[ ] DAT_6fdef970 @ 6fdef970 (2 xrefs)
[ ] DAT_6fdef974 @ 6fdef974 (2 xrefs)
[ ] DAT_6fdef978 @ 6fdef978 (2 xrefs)
[ ] DAT_6fdef97c @ 6fdef97c (2 xrefs)
[ ] DAT_6fdefbc0 @ 6fdefbc0 (2 xrefs)
[ ] DAT_6fdefbe4 @ 6fdefbe4 (2 xrefs)
[ ] DAT_6fdefc00 @ 6fdefc00 (2 xrefs)
[ ] DAT_6fdefdb0 @ 6fdefdb0 (2 xrefs)
[ ] BodyLocsTableLoadedFlag @ 6fdefee0 (2 xrefs)
[ ] StorePageTableLoadedFlag @ 6fdefee8 (2 xrefs)
[ ] ElemTypesTableLoadedFlag @ 6fdefef0 (2 xrefs)
[ ] HitClassTableLoadedFlag @ 6fdefef8 (2 xrefs)
[ ] DataTableManagement @ 6fdeff00 (2 xrefs)
[ ] PlrModeTableLoadedFlag @ 6fdeff08 (2 xrefs)
[ ] SkillCalcTableLoadedFlag @ 6fdeff10 (2 xrefs)
[ ] MissCalcTableLoadedFlag @ 6fdeff30 (2 xrefs)
[ ] SkillsTableLoadedFlag @ 6fdeff44 (2 xrefs)
[ ] EventsTableLoadedFlag @ 6fdeff4c (2 xrefs)
[ ] DAT_6fdeff60 @ 6fdeff60 (2 xrefs)
[ ] DAT_6fdeff8c @ 6fdeff8c (2 xrefs)
[ ] DAT_6fdeffac @ 6fdeffac (2 xrefs)
[ ] DAT_6fdeffe0 @ 6fdeffe0 (2 xrefs)
[ ] DAT_6fdf001c @ 6fdf001c (2 xrefs)
[ ] DAT_6fdf0020 @ 6fdf0020 (2 xrefs)
[ ] DAT_6fdf003c @ 6fdf003c (2 xrefs)
[ ] DAT_6fdf0064 @ 6fdf0064 (2 xrefs)
[ ] DAT_6fdf0084 @ 6fdf0084 (2 xrefs)
[ ] DAT_6fdf0484 @ 6fdf0484 (2 xrefs)
[ ] DAT_6fdf0884 @ 6fdf0884 (2 xrefs)
[ ] DAT_6fdf0888 @ 6fdf0888 (2 xrefs)
[ ] DAT_6fdf0974 @ 6fdf0974 (2 xrefs)
[ ] DAT_6fdf0988 @ 6fdf0988 (2 xrefs)
[ ] DAT_6fdf098c @ 6fdf098c (2 xrefs)
[ ] DAT_6fdf0994 @ 6fdf0994 (2 xrefs)
[ ] DAT_6fdf09a8 @ 6fdf09a8 (2 xrefs)
[ ] DAT_6fdf09bc @ 6fdf09bc (2 xrefs)
[ ] DAT_6fdf0b20 @ 6fdf0b20 (2 xrefs)
[ ] DAT_6fdf0b6c @ 6fdf0b6c (2 xrefs)
[ ] DAT_6fdf0b70 @ 6fdf0b70 (2 xrefs)
[ ] DAT_6fdf0b78 @ 6fdf0b78 (2 xrefs)
[ ] DAT_6fdf0b7c @ 6fdf0b7c (2 xrefs)
[ ] DAT_6fdf0b80 @ 6fdf0b80 (2 xrefs)
[ ] DAT_6fdf0bac @ 6fdf0bac (2 xrefs)
[ ] DAT_6fdf0bb8 @ 6fdf0bb8 (2 xrefs)
[ ] DAT_6fdf0bc8 @ 6fdf0bc8 (2 xrefs)
[ ] DAT_6fdf0bd0 @ 6fdf0bd0 (2 xrefs)
[ ] DAT_6fdf13ac @ 6fdf13ac (2 xrefs)
[ ] DAT_6fdf1430 @ 6fdf1430 (2 xrefs)
[ ] DAT_6fdf1438 @ 6fdf1438 (2 xrefs)
[ ] DAT_6fdf1460 @ 6fdf1460 (2 xrefs)
[ ] DAT_6fdf1488 @ 6fdf1488 (2 xrefs)
[ ] DAT_6fdf2844 @ 6fdf2844 (2 xrefs)
[ ] DAT_6fdf2848 @ 6fdf2848 (2 xrefs)
[ ] DWORD_6fdf3000 @ 6fdf3000 (2 xrefs)
[ ] IMAGE_DOS_HEADER_6fd50000 @ 6fd50000 (1 xrefs)
[ ] switchdataD_6fd52384 @ 6fd52384 (1 xrefs)
[ ] switchdataD_6fd52400 @ 6fd52400 (1 xrefs)
[ ] switchdataD_6fd52510 @ 6fd52510 (1 xrefs)
[ ] PTR_caseD_0_6fd525b8 @ 6fd525b8 (1 xrefs)
[ ] switchdataD_6fd54121 @ 6fd54121 (1 xrefs)
[ ] switchdataD_6fd54934 @ 6fd54934 (1 xrefs)
[ ] switchdataD_6fd549b0 @ 6fd549b0 (1 xrefs)
[ ] switchdataD_6fd54ac0 @ 6fd54ac0 (1 xrefs)
[ ] PTR_caseD_0_6fd54b68 @ 6fd54b68 (1 xrefs)
[ ] switchdataD_6fd5b258 @ 6fd5b258 (1 xrefs)
[ ] switchdataD_6fd5b260 @ 6fd5b260 (1 xrefs)
[ ] switchdataD_6fd5b4a4 @ 6fd5b4a4 (1 xrefs)
[ ] switchdataD_6fd5b4ac @ 6fd5b4ac (1 xrefs)
[ ] switchdataD_6fd5eb30 @ 6fd5eb30 (1 xrefs)
[ ] switchdataD_6fd5ede4 @ 6fd5ede4 (1 xrefs)
[ ] switchdataD_6fd5efe0 @ 6fd5efe0 (1 xrefs)
[ ] switchdataD_6fd61918 @ 6fd61918 (1 xrefs)
[ ] switchdataD_6fd6192c @ 6fd6192c (1 xrefs)
[ ] switchdataD_6fd62704 @ 6fd62704 (1 xrefs)
[ ] switchdataD_6fd63fb8 @ 6fd63fb8 (1 xrefs)
[ ] switchdataD_6fd64248 @ 6fd64248 (1 xrefs)
[ ] switchdataD_6fd64338 @ 6fd64338 (1 xrefs)
[ ] switchdataD_6fd64418 @ 6fd64418 (1 xrefs)
[ ] switchdataD_6fd64590 @ 6fd64590 (1 xrefs)
[ ] switchdataD_6fd645f4 @ 6fd645f4 (1 xrefs)
[ ] switchdataD_6fd64cd4 @ 6fd64cd4 (1 xrefs)
[ ] switchdataD_6fd64ce4 @ 6fd64ce4 (1 xrefs)
[ ] switchdataD_6fd64e08 @ 6fd64e08 (1 xrefs)
[ ] switchdataD_6fd64f74 @ 6fd64f74 (1 xrefs)
[ ] switchdataD_6fd6522c @ 6fd6522c (1 xrefs)
[ ] switchdataD_6fd6523c @ 6fd6523c (1 xrefs)
[ ] switchdataD_6fd65458 @ 6fd65458 (1 xrefs)
[ ] switchdataD_6fd65468 @ 6fd65468 (1 xrefs)
[ ] switchdataD_6fd65654 @ 6fd65654 (1 xrefs)
[ ] switchdataD_6fd657c0 @ 6fd657c0 (1 xrefs)
[ ] switchdataD_6fd66c40 @ 6fd66c40 (1 xrefs)
[ ] switchdataD_6fd66c54 @ 6fd66c54 (1 xrefs)
[ ] switchdataD_6fd66c64 @ 6fd66c64 (1 xrefs)
[ ] switchdataD_6fd66c74 @ 6fd66c74 (1 xrefs)
[ ] switchdataD_6fd676d8 @ 6fd676d8 (1 xrefs)
[ ] switchdataD_6fd67b50 @ 6fd67b50 (1 xrefs)
[ ] switchdataD_6fd68c2c @ 6fd68c2c (1 xrefs)
[ ] switchdataD_6fd69f88 @ 6fd69f88 (1 xrefs)
[ ] switchdataD_6fd6b0e0 @ 6fd6b0e0 (1 xrefs)
[ ] switchdataD_6fd6b0fc @ 6fd6b0fc (1 xrefs)
[ ] switchdataD_6fd6b170 @ 6fd6b170 (1 xrefs)
[ ] switchdataD_6fd6b184 @ 6fd6b184 (1 xrefs)
[ ] switchdataD_6fd6fac0 @ 6fd6fac0 (1 xrefs)
[ ] switchdataD_6fd6facc @ 6fd6facc (1 xrefs)
[ ] switchdataD_6fd712dc @ 6fd712dc (1 xrefs)
[ ] switchdataD_6fd712ec @ 6fd712ec (1 xrefs)
[ ] switchdataD_6fd72248 @ 6fd72248 (1 xrefs)
[ ] switchdataD_6fd72254 @ 6fd72254 (1 xrefs)
[ ] switchdataD_6fd72298 @ 6fd72298 (1 xrefs)
[ ] switchdataD_6fd722a4 @ 6fd722a4 (1 xrefs)
[ ] switchdataD_6fd757f4 @ 6fd757f4 (1 xrefs)
[ ] switchdataD_6fd766c0 @ 6fd766c0 (1 xrefs)
[ ] switchdataD_6fd787ac @ 6fd787ac (1 xrefs)
[ ] PTR_caseD_2_6fd787b0 @ 6fd787b0 (1 xrefs)
[ ] switchdataD_6fd78d54 @ 6fd78d54 (1 xrefs)
[ ] switchdataD_6fd79cdc @ 6fd79cdc (1 xrefs)
[ ] switchdataD_6fd79ea4 @ 6fd79ea4 (1 xrefs)
[ ] switchdataD_6fd7a59c @ 6fd7a59c (1 xrefs)
[ ] switchdataD_6fd7bf38 @ 6fd7bf38 (1 xrefs)
[ ] switchdataD_6fd7bf4c @ 6fd7bf4c (1 xrefs)
[ ] switchdataD_6fd7bf60 @ 6fd7bf60 (1 xrefs)
[ ] PTR_caseD_2_6fd7bf64 @ 6fd7bf64 (1 xrefs)
[ ] switchdataD_6fd7bf84 @ 6fd7bf84 (1 xrefs)
[ ] switchdataD_6fd7bfe8 @ 6fd7bfe8 (1 xrefs)
[ ] switchdataD_6fd7d340 @ 6fd7d340 (1 xrefs)
[ ] switchdataD_6fd7e5ac @ 6fd7e5ac (1 xrefs)
[ ] switchdataD_6fd7fc34 @ 6fd7fc34 (1 xrefs)
[ ] switchdataD_6fd80f64 @ 6fd80f64 (1 xrefs)
[ ] switchdataD_6fd80fe4 @ 6fd80fe4 (1 xrefs)
[ ] switchdataD_6fd81484 @ 6fd81484 (1 xrefs)
[ ] switchdataD_6fd81734 @ 6fd81734 (1 xrefs)
[ ] switchdataD_6fd81740 @ 6fd81740 (1 xrefs)
[ ] switchdataD_6fd81d08 @ 6fd81d08 (1 xrefs)
[ ] switchdataD_6fd83900 @ 6fd83900 (1 xrefs)
[ ] switchdataD_6fd8551c @ 6fd8551c (1 xrefs)
[ ] switchdataD_6fd87824 @ 6fd87824 (1 xrefs)
[ ] switchdataD_6fd88628 @ 6fd88628 (1 xrefs)
[ ] switchdataD_6fd89af0 @ 6fd89af0 (1 xrefs)
[ ] switchdataD_6fd89f48 @ 6fd89f48 (1 xrefs)
[ ] switchdataD_6fd89f60 @ 6fd89f60 (1 xrefs)
[ ] switchdataD_6fd8d528 @ 6fd8d528 (1 xrefs)
[ ] switchdataD_6fd8d7a4 @ 6fd8d7a4 (1 xrefs)
[ ] switchdataD_6fd8d7b4 @ 6fd8d7b4 (1 xrefs)
[ ] PTR_caseD_8_6fd8d7d8 @ 6fd8d7d8 (1 xrefs)
[ ] switchdataD_6fd9331c @ 6fd9331c (1 xrefs)
[ ] switchdataD_6fd936f8 @ 6fd936f8 (1 xrefs)
[ ] PTR_caseD_1_6fd936fc @ 6fd936fc (1 xrefs)
[ ] switchdataD_6fd948d8 @ 6fd948d8 (1 xrefs)
[ ] switchdataD_6fd9565c @ 6fd9565c (1 xrefs)
[ ] switchdataD_6fd95bc0 @ 6fd95bc0 (1 xrefs)
[ ] switchdataD_6fd962f0 @ 6fd962f0 (1 xrefs)
[ ] switchdataD_6fd96308 @ 6fd96308 (1 xrefs)
[ ] switchdataD_6fd97860 @ 6fd97860 (1 xrefs)
[ ] switchdataD_6fd97880 @ 6fd97880 (1 xrefs)
[ ] switchdataD_6fd9a978 @ 6fd9a978 (1 xrefs)
[ ] PTR_caseD_1b_6fd9a984 @ 6fd9a984 (1 xrefs)
[ ] switchdataD_6fd9bdf0 @ 6fd9bdf0 (1 xrefs)
[ ] switchdataD_6fd9be74 @ 6fd9be74 (1 xrefs)
[ ] switchdataD_6fd9bf9c @ 6fd9bf9c (1 xrefs)
[ ] PTR_caseD_5_6fd9c50c @ 6fd9c50c (1 xrefs)
[ ] DAT_6fd9c52c @ 6fd9c52c (1 xrefs)
[ ] PTR_caseD_5_6fd9c924 @ 6fd9c924 (1 xrefs)
[ ] switchdataD_6fd9ce80 @ 6fd9ce80 (1 xrefs)
[ ] switchdataD_6fd9cf28 @ 6fd9cf28 (1 xrefs)
[ ] switchdataD_6fd9cff0 @ 6fd9cff0 (1 xrefs)
[ ] switchdataD_6fd9efec @ 6fd9efec (1 xrefs)
[ ] switchdataD_6fd9f844 @ 6fd9f844 (1 xrefs)
[ ] PTR_caseD_2_6fd9f858 @ 6fd9f858 (1 xrefs)
[ ] BYTE_6fd9f85d @ 6fd9f85d (1 xrefs)
[ ] BYTE_6fd9f85e @ 6fd9f85e (1 xrefs)
[ ] BYTE_6fd9f85f @ 6fd9f85f (1 xrefs)
[ ] BYTE_6fd9f863 @ 6fd9f863 (1 xrefs)
[ ] switchdataD_6fd9f908 @ 6fd9f908 (1 xrefs)
[ ] switchdataD_6fda174c @ 6fda174c (1 xrefs)
[ ] switchdataD_6fdae700 @ 6fdae700 (1 xrefs)
[ ] switchdataD_6fdaf24c @ 6fdaf24c (1 xrefs)
[ ] switchdataD_6fdaf2fc @ 6fdaf2fc (1 xrefs)
[ ] switchdataD_6fdb9b34 @ 6fdb9b34 (1 xrefs)
[ ] switchdataD_6fdbaa70 @ 6fdbaa70 (1 xrefs)
[ ] switchdataD_6fdbabb8 @ 6fdbabb8 (1 xrefs)
[ ] switchdataD_6fdbc1bc @ 6fdbc1bc (1 xrefs)
[ ] switchdataD_6fdcc820 @ 6fdcc820 (1 xrefs)
[ ] switchdataD_6fdcc834 @ 6fdcc834 (1 xrefs)
[ ] switchdataD_6fdcf350 @ 6fdcf350 (1 xrefs)
[ ] switchdataD_6fdcf53c @ 6fdcf53c (1 xrefs)
[ ] switchdataD_6fdcf8d4 @ 6fdcf8d4 (1 xrefs)
[ ] switchdataD_6fdcf8e8 @ 6fdcf8e8 (1 xrefs)
[ ] switchdataD_6fdcfb8c @ 6fdcfb8c (1 xrefs)
[ ] switchdataD_6fdcfba0 @ 6fdcfba0 (1 xrefs)
[ ] switchdataD_6fdd58ac @ 6fdd58ac (1 xrefs)
[ ] switchdataD_6fdd5a64 @ 6fdd5a64 (1 xrefs)
[ ] switchdataD_6fdd5f4c @ 6fdd5f4c (1 xrefs)
[ ] switchdataD_6fdd5f6c @ 6fdd5f6c (1 xrefs)
[ ] switchdataD_6fdd8243 @ 6fdd8243 (1 xrefs)
[ ] PTR_caseD_1_6fdd8247 @ 6fdd8247 (1 xrefs)
[ ] PTR_caseD_2_6fdd824b @ 6fdd824b (1 xrefs)
[ ] PTR_caseD_7_6fdd825f @ 6fdd825f (1 xrefs)
[ ] PTR_caseD_8_6fdd8263 @ 6fdd8263 (1 xrefs)
[ ] PTR_caseD_9_6fdd8267 @ 6fdd8267 (1 xrefs)
[ ] PTR_Ordinal_10036_6fdd9004 @ 6fdd9004 (1 xrefs)
[ ] PTR_Ordinal_10027_6fdd9008 @ 6fdd9008 (1 xrefs)
[ ] PTR_Ordinal_10059_6fdd900c @ 6fdd900c (1 xrefs)
[ ] PTR_Ordinal_10045_6fdd9010 @ 6fdd9010 (1 xrefs)
[ ] PTR_Ordinal_10051_6fdd9014 @ 6fdd9014 (1 xrefs)
[ ] PTR_Ordinal_10007_6fdd9018 @ 6fdd9018 (1 xrefs)
[ ] PTR_Ordinal_10091_6fdd901c @ 6fdd901c (1 xrefs)
[ ] PTR_strlen_6fdd9024 @ 6fdd9024 (1 xrefs)
[ ] PTR_Ordinal_10003_6fdd902c @ 6fdd902c (1 xrefs)
[ ] PTR_strcat_6fdd9038 @ 6fdd9038 (1 xrefs)
[ ] PTR_Ordinal_10011_6fdd9044 @ 6fdd9044 (1 xrefs)
[ ] PTR_Ordinal_10010_6fdd9048 @ 6fdd9048 (1 xrefs)
[ ] PTR_Ordinal_10009_6fdd904c @ 6fdd904c (1 xrefs)
[ ] PTR_Ordinal_10127_6fdd9054 @ 6fdd9054 (1 xrefs)
[ ] PTR_Ordinal_10130_6fdd9058 @ 6fdd9058 (1 xrefs)
[ ] PTR_Ordinal_10128_6fdd905c @ 6fdd905c (1 xrefs)
[ ] PTR_Ordinal_10129_6fdd9060 @ 6fdd9060 (1 xrefs)
[ ] PTR_Ordinal_10131_6fdd9064 @ 6fdd9064 (1 xrefs)
[ ] PTR_Ordinal_10118_6fdd9068 @ 6fdd9068 (1 xrefs)
[ ] PTR_Ordinal_10120_6fdd906c @ 6fdd906c (1 xrefs)
[ ] PTR_Ordinal_10119_6fdd9070 @ 6fdd9070 (1 xrefs)
[ ] PTR_Ordinal_10126_6fdd9074 @ 6fdd9074 (1 xrefs)
[ ] PTR_Ordinal_10214_6fdd907c @ 6fdd907c (1 xrefs)
[ ] PTR_Ordinal_10207_6fdd9080 @ 6fdd9080 (1 xrefs)
[ ] PTR_Ordinal_10210_6fdd9084 @ 6fdd9084 (1 xrefs)
[ ] PTR_Ordinal_10208_6fdd9088 @ 6fdd9088 (1 xrefs)
[ ] PTR_Ordinal_10209_6fdd908c @ 6fdd908c (1 xrefs)
[ ] PTR_Ordinal_10083_6fdd9090 @ 6fdd9090 (1 xrefs)
[ ] PTR_Ordinal_10084_6fdd9094 @ 6fdd9094 (1 xrefs)
[ ] PTR_Ordinal_10253_6fdd9098 @ 6fdd9098 (1 xrefs)
[ ] PTR_Ordinal_10227_6fdd909c @ 6fdd909c (1 xrefs)
[ ] PTR_Ordinal_10042_6fdd90a0 @ 6fdd90a0 (1 xrefs)
[ ] PTR_Ordinal_10215_6fdd90a4 @ 6fdd90a4 (1 xrefs)
[ ] PTR_Ordinal_10216_6fdd90a8 @ 6fdd90a8 (1 xrefs)
[ ] PTR_Ordinal_10047_6fdd90ac @ 6fdd90ac (1 xrefs)
[ ] PTR_Ordinal_10211_6fdd90b4 @ 6fdd90b4 (1 xrefs)
[ ] PTR_Ordinal_10212_6fdd90b8 @ 6fdd90b8 (1 xrefs)
[ ] PTR_Ordinal_10213_6fdd90bc @ 6fdd90bc (1 xrefs)
[ ] PTR_Ordinal_10217_6fdd90c0 @ 6fdd90c0 (1 xrefs)
[ ] PTR_Ordinal_10254_6fdd90c4 @ 6fdd90c4 (1 xrefs)
[ ] PTR_Ordinal_10043_6fdd90c8 @ 6fdd90c8 (1 xrefs)
[ ] PTR_Ordinal_10046_6fdd90cc @ 6fdd90cc (1 xrefs)
[ ] PTR_Ordinal_10045_6fdd90d0 @ 6fdd90d0 (1 xrefs)
[ ] PTR_Ordinal_10265_6fdd90d4 @ 6fdd90d4 (1 xrefs)
[ ] PTR_Ordinal_10024_6fdd90d8 @ 6fdd90d8 (1 xrefs)
[ ] PTR_Ordinal_10104_6fdd90dc @ 6fdd90dc (1 xrefs)
[ ] PTR_Ordinal_10102_6fdd90e0 @ 6fdd90e0 (1 xrefs)
[ ] PTR_Ordinal_10029_6fdd90e4 @ 6fdd90e4 (1 xrefs)
[ ] PTR_Ordinal_10103_6fdd90e8 @ 6fdd90e8 (1 xrefs)
[ ] PTR_Ordinal_10106_6fdd90ec @ 6fdd90ec (1 xrefs)
[ ] PTR_Ordinal_10105_6fdd90f0 @ 6fdd90f0 (1 xrefs)
[ ] PTR_Ordinal_10050_6fdd90f4 @ 6fdd90f4 (1 xrefs)
[ ] PTR_GetACP_6fdd90fc @ 6fdd90fc (1 xrefs)
[ ] PTR_GetOEMCP_6fdd9100 @ 6fdd9100 (1 xrefs)
[ ] PTR_CreateFileA_6fdd9108 @ 6fdd9108 (1 xrefs)
[ ] PTR_VirtualProtect_6fdd9114 @ 6fdd9114 (1 xrefs)
[ ] PTR_GetSystemInfo_6fdd9118 @ 6fdd9118 (1 xrefs)
[ ] PTR_GetCurrentProcessId_6fdd911c @ 6fdd911c (1 xrefs)
[ ] PTR_SetEndOfFile_6fdd9120 @ 6fdd9120 (1 xrefs)
[ ] PTR_GetLocaleInfoA_6fdd9128 @ 6fdd9128 (1 xrefs)
[ ] PTR_GetLogicalDriveStringsA_6fdd9130 @ 6fdd9130 (1 xrefs)
[ ] PTR_Sleep_6fdd9134 @ 6fdd9134 (1 xrefs)
[ ] PTR_GetStringTypeA_6fdd913c @ 6fdd913c (1 xrefs)
[ ] PTR_HeapSize_6fdd9148 @ 6fdd9148 (1 xrefs)
[ ] PTR_RtlUnwind_6fdd9150 @ 6fdd9150 (1 xrefs)
[ ] PTR_UnhandledExceptionFilter_6fdd9154 @ 6fdd9154 (1 xrefs)
[ ] PTR_HeapCreate_6fdd915c @ 6fdd915c (1 xrefs)
[ ] PTR_GetEnvironmentStringsW_6fdd9164 @ 6fdd9164 (1 xrefs)
[ ] PTR_FreeEnvironmentStringsW_6fdd9168 @ 6fdd9168 (1 xrefs)
[ ] PTR_GetEnvironmentStrings_6fdd916c @ 6fdd916c (1 xrefs)
[ ] PTR_FreeEnvironmentStringsA_6fdd9170 @ 6fdd9170 (1 xrefs)
[ ] PTR_GetStartupInfoA_6fdd9178 @ 6fdd9178 (1 xrefs)
[ ] PTR_SetHandleCount_6fdd9184 @ 6fdd9184 (1 xrefs)
[ ] PTR_FlushFileBuffers_6fdd919c @ 6fdd919c (1 xrefs)
[ ] PTR_TlsGetValue_6fdd91ac @ 6fdd91ac (1 xrefs)
[ ] PTR_TlsSetValue_6fdd91b0 @ 6fdd91b0 (1 xrefs)
[ ] PTR_TlsFree_6fdd91b4 @ 6fdd91b4 (1 xrefs)
[ ] PTR_TlsAlloc_6fdd91bc @ 6fdd91bc (1 xrefs)
[ ] PTR_GetVersionExA_6fdd91c8 @ 6fdd91c8 (1 xrefs)
[ ] PTR_GetCommandLineA_6fdd91cc @ 6fdd91cc (1 xrefs)
[ ] PTR_GetCurrentProcess_6fdd91d8 @ 6fdd91d8 (1 xrefs)
[ ] PTR_TerminateProcess_6fdd91dc @ 6fdd91dc (1 xrefs)
[ ] PTR_InterlockedIncrement_6fdd91ec @ 6fdd91ec (1 xrefs)
[ ] PTR_InterlockedDecrement_6fdd91f0 @ 6fdd91f0 (1 xrefs)
[ ] PTR_QueryPerformanceFrequency_6fdd9204 @ 6fdd9204 (1 xrefs)
[ ] PTR_LoadLibraryA_6fdd9210 @ 6fdd9210 (1 xrefs)
[ ] PTR_GetDriveTypeA_6fdd9218 @ 6fdd9218 (1 xrefs)
[ ] PTR_GetVolumeInformationA_6fdd921c @ 6fdd921c (1 xrefs)
[ ] PTR_Ordinal_501_6fdd9224 @ 6fdd9224 (1 xrefs)
[ ] PTR_Ordinal_266_6fdd9228 @ 6fdd9228 (1 xrefs)
[ ] PTR_Ordinal_276_6fdd922c @ 6fdd922c (1 xrefs)
[ ] PTR_Ordinal_503_6fdd9230 @ 6fdd9230 (1 xrefs)
[ ] PTR_Ordinal_571_6fdd9234 @ 6fdd9234 (1 xrefs)
[ ] PTR_Ordinal_252_6fdd9238 @ 6fdd9238 (1 xrefs)
[ ] PTR_Ordinal_578_6fdd923c @ 6fdd923c (1 xrefs)
[ ] PTR_Ordinal_509_6fdd9240 @ 6fdd9240 (1 xrefs)
[ ] PTR_CharNextA_6fdd924c @ 6fdd924c (1 xrefs)
[ ] IMAGE_DEBUG_DIRECTORY_6fdd9260 @ 6fdd9260 (1 xrefs)
[ ] s_CorExitProcess_6fdd927c @ 6fdd927c (1 xrefs)
[ ] s_mscoree.dll_6fdd928c @ 6fdd928c (1 xrefs)
[ ] s_FlsFree_6fdd9508 @ 6fdd9508 (1 xrefs)
[ ] s_FlsSetValue_6fdd9510 @ 6fdd9510 (1 xrefs)
[ ] s_FlsGetValue_6fdd951c @ 6fdd951c (1 xrefs)
[ ] u_null)_6fdd95a6 @ 6fdd95a6 (1 xrefs)
[ ] s_Runtime_Error!_Program:_6fdd9a10 @ 6fdd9a10 (1 xrefs)
[ ] s_InitializeCriticalSectionAndSpin_6fdd9a48 @ 6fdd9a48 (1 xrefs)
[ ] s_HH:mm:ss_6fdd9abc @ 6fdd9abc (1 xrefs)
[ ] s_dddd,_MMMM_dd,_yyyy_6fdd9ac8 @ 6fdd9ac8 (1 xrefs)
[ ] s_MM/dd/yy_6fdd9adc @ 6fdd9adc (1 xrefs)
[ ] s_December_6fdd9af0 @ 6fdd9af0 (1 xrefs)
[ ] s_November_6fdd9afc @ 6fdd9afc (1 xrefs)
[ ] s_October_6fdd9b08 @ 6fdd9b08 (1 xrefs)
[ ] s_September_6fdd9b10 @ 6fdd9b10 (1 xrefs)
[ ] s_August_6fdd9b1c @ 6fdd9b1c (1 xrefs)
[ ] s_April_6fdd9b34 @ 6fdd9b34 (1 xrefs)
[ ] s_March_6fdd9b3c @ 6fdd9b3c (1 xrefs)
[ ] s_February_6fdd9b44 @ 6fdd9b44 (1 xrefs)
[ ] s_January_6fdd9b50 @ 6fdd9b50 (1 xrefs)
[ ] s_Saturday_6fdd9b88 @ 6fdd9b88 (1 xrefs)
[ ] s_Friday_6fdd9b94 @ 6fdd9b94 (1 xrefs)
[ ] s_Thursday_6fdd9b9c @ 6fdd9b9c (1 xrefs)
[ ] s_Wednesday_6fdd9ba8 @ 6fdd9ba8 (1 xrefs)
[ ] s_Tuesday_6fdd9bb4 @ 6fdd9bb4 (1 xrefs)
[ ] s_Monday_6fdd9bbc @ 6fdd9bbc (1 xrefs)
[ ] s_Sunday_6fdd9bc4 @ 6fdd9bc4 (1 xrefs)
[ ] s_GetUserObjectInformationA_6fdda18c @ 6fdda18c (1 xrefs)
[ ] s_GetLastActivePopup_6fdda1a8 @ 6fdda1a8 (1 xrefs)
[ ] s_GetActiveWindow_6fdda1bc @ 6fdda1bc (1 xrefs)
[ ] s_MessageBoxA_6fdda1cc @ 6fdda1cc (1 xrefs)
