# D2Common.dll Data Todo List
# Format: [ ] name @ address (N xrefs)
# Generated by extract_ghidra_data_REST.ps1 on 10/16/2025 01:22:55
# Using list_data_items_by_xrefs endpoint (v1.7.4+)
# Total data items: 5000
# Total items fetched: 5000
# Sorted by xref count (highest first)
# Items with 0 xrefs excluded by API
#

[X] GlobalDataTables @ 6fde9e1c (511 xrefs)
[ ] DAT_6fdf1420 @ 6fdf1420 (8 xrefs)
[ ] DAT_6fdf143c @ 6fdf143c (8 xrefs)
[ ] DAT_6fdf146c @ 6fdf146c (8 xrefs)
[ ] DAT_6fdf14c4 @ 6fdf14c4 (8 xrefs)
[ ] g_heapMode @ 6fdf1710 (8 xrefs)
[ ] PTR_IsBadCodePtr_6fdd9200 @ 6fdd9200 (7 xrefs)
[ ] s_..\Source\D2Common\DATATBLS\Fiel_6fddad20 @ 6fddad20 (7 xrefs)
[ ] s_..\Source\D2Common\SKILLS\Skills_6fde3118 @ 6fde3118 (7 xrefs)
[ ] DAT_6fdef5a4 @ 6fdef5a4 (7 xrefs)
[ ] DAT_6fdefa5c @ 6fdefa5c (7 xrefs)
[ ] DAT_6fdefbb8 @ 6fdefbb8 (7 xrefs)
[ ] DAT_6fdefbd0 @ 6fdefbd0 (7 xrefs)
[ ] DAT_6fdefbf4 @ 6fdefbf4 (7 xrefs)
[ ] DAT_6fdf0af4 @ 6fdf0af4 (7 xrefs)
[ ] DAT_6fdf0af8 @ 6fdf0af8 (7 xrefs)
[ ] DAT_6fdf0b00 @ 6fdf0b00 (7 xrefs)
[ ] DAT_6fdf0b64 @ 6fdf0b64 (7 xrefs)
[ ] DAT_6fdf13f8 @ 6fdf13f8 (7 xrefs)
[ ] DAT_6fdf1424 @ 6fdf1424 (7 xrefs)
[ ] DAT_6fdf14e0 @ 6fdf14e0 (7 xrefs)
[ ] DAT_6fdf15f0 @ 6fdf15f0 (7 xrefs)
[ ] DAT_6fdf2850 @ 6fdf2850 (7 xrefs)
[ ] switchdataD_6fd52608 @ 6fd52608 (6 xrefs)
[ ] switchdataD_6fd54bb8 @ 6fd54bb8 (6 xrefs)
[ ] PTR_MultiByteToWideChar_6fdd9190 @ 6fdd9190 (6 xrefs)
[ ] PTR_WideCharToMultiByte_6fdd9194 @ 6fdd9194 (6 xrefs)
[ ] PTR_EnterCriticalSection_6fdd91c4 @ 6fdd91c4 (6 xrefs)
[ ] PTR_DeleteCriticalSection_6fdd9208 @ 6fdd9208 (6 xrefs)
[ ] s_level_6fddab34 @ 6fddab34 (6 xrefs)
[ ] s_class_6fddab40 @ 6fddab40 (6 xrefs)
[ ] DAT_6fdde594 @ 6fdde594 (6 xrefs)
[ ] DAT_6fde466c @ 6fde466c (6 xrefs)
[ ] DAT_6fde4670 @ 6fde4670 (6 xrefs)
[ ] s_Error_opening_file:_%s_6fde6f00 @ 6fde6f00 (6 xrefs)
[ ] DAT_6fde9170 @ 6fde9170 (6 xrefs)
[ ] DAT_6fdeb1a8 @ 6fdeb1a8 (6 xrefs)
[ ] DAT_6fdeb1f4 @ 6fdeb1f4 (6 xrefs)
[ ] g_charClassificationTable @ 6fdeee88 (6 xrefs)
[ ] DAT_6fdef764 @ 6fdef764 (6 xrefs)
[ ] DAT_6fdef898 @ 6fdef898 (6 xrefs)
[ ] DAT_6fdef8a4 @ 6fdef8a4 (6 xrefs)
[ ] DAT_6fdefa58 @ 6fdefa58 (6 xrefs)
[ ] DAT_6fdefbcc @ 6fdefbcc (6 xrefs)
[ ] DAT_6fdefd9c @ 6fdefd9c (6 xrefs)
[ ] PlrModeTableHandle @ 6fdeff0c (6 xrefs)
[ ] SkillCalcTableHandle @ 6fdeff14 (6 xrefs)
[ ] DAT_6fdeff24 @ 6fdeff24 (6 xrefs)
[ ] MissCalcTableHandle @ 6fdeff34 (6 xrefs)
[ ] DAT_6fdeff38 @ 6fdeff38 (6 xrefs)
[ ] SkillsTableHandle @ 6fdeff48 (6 xrefs)
[ ] DAT_6fdf0080 @ 6fdf0080 (6 xrefs)
[ ] DAT_6fdf0880 @ 6fdf0880 (6 xrefs)
[ ] DAT_6fdf09b8 @ 6fdf09b8 (6 xrefs)
[ ] DAT_6fdf0a5c @ 6fdf0a5c (6 xrefs)
[ ] DAT_6fdf0ab4 @ 6fdf0ab4 (6 xrefs)
[ ] DAT_6fdf0abc @ 6fdf0abc (6 xrefs)
[ ] DAT_6fdf0ae8 @ 6fdf0ae8 (6 xrefs)
[ ] DAT_6fdf0aec @ 6fdf0aec (6 xrefs)
[ ] DAT_6fdf0b74 @ 6fdf0b74 (6 xrefs)
[ ] DAT_6fdf0b8c @ 6fdf0b8c (6 xrefs)
[ ] DAT_6fdf0b9c @ 6fdf0b9c (6 xrefs)
[ ] DAT_6fdf13d4 @ 6fdf13d4 (6 xrefs)
[ ] DAT_6fdf13dc @ 6fdf13dc (6 xrefs)
[ ] DAT_6fdf1400 @ 6fdf1400 (6 xrefs)
[ ] DAT_6fdf1414 @ 6fdf1414 (6 xrefs)
[ ] DAT_6fdf1428 @ 6fdf1428 (6 xrefs)
[ ] DAT_6fdf1450 @ 6fdf1450 (6 xrefs)
[ ] DAT_6fdf1454 @ 6fdf1454 (6 xrefs)
[ ] DAT_6fdf147c @ 6fdf147c (6 xrefs)
[ ] DAT_6fdf14e4 @ 6fdf14e4 (6 xrefs)
[ ] DAT_6fdf2840 @ 6fdf2840 (6 xrefs)
[ ] switchdataD_6fd5246c @ 6fd5246c (5 xrefs)
[ ] switchdataD_6fd54a1c @ 6fd54a1c (5 xrefs)
[ ] PTR_GetModuleFileNameA_6fdd9174 @ 6fdd9174 (5 xrefs)
[ ] PTR_HeapAlloc_6fdd9188 @ 6fdd9188 (5 xrefs)
[ ] PTR_GetProcAddress_6fdd91e4 @ 6fdd91e4 (5 xrefs)
[ ] s_(null)_6fdd95b4 @ 6fdd95b4 (5 xrefs)
[ ] s_R6009_-_not_enough_space_for_env_6fdd9968 @ 6fdd9968 (5 xrefs)
[ ] s_skill_6fddb43c @ 6fddb43c (5 xrefs)
[ ] DAT_6fddca04 @ 6fddca04 (5 xrefs)
[ ] DAT_6fddca08 @ 6fddca08 (5 xrefs)
[ ] DAT_6fddca20 @ 6fddca20 (5 xrefs)
[ ] s_%s\%s%s_6fdddbe8 @ 6fdddbe8 (5 xrefs)
[ ] s_rarity_6fddf43c @ 6fddf43c (5 xrefs)
[ ] s_SizeY_6fddfa38 @ 6fddfa38 (5 xrefs)
[ ] s_SizeX_6fddfa40 @ 6fddfa40 (5 xrefs)
[ ] s_skilldesc_6fde1534 @ 6fde1534 (5 xrefs)
[ ] s_..\Source\D2Common\DRLG\Outdoors_6fde347c @ 6fde347c (5 xrefs)
[ ] s_..\Source\D2Common\DATATBLS\Anim_6fde34d4 @ 6fde34d4 (5 xrefs)
[ ] s_..\Source\D2Common\UNITS\MisStre_6fde4898 @ 6fde4898 (5 xrefs)
[ ] s_token_6fde508c @ 6fde508c (5 xrefs)
[ ] DAT_6fde5ed4 @ 6fde5ed4 (5 xrefs)
[ ] DAT_6fde9050 @ 6fde9050 (5 xrefs)
[ ] PTR_s_R6009_-_not_enough_space_for_env_6fde97bc @ 6fde97bc (5 xrefs)
[ ] PTR_DAT_6fde991c @ 6fde991c (5 xrefs)
[ ] switchdataD_6fde9bf8 @ 6fde9bf8 (5 xrefs)
[ ] DAT_6fde9c58 @ 6fde9c58 (5 xrefs)
[ ] DAT_6fde9c5a @ 6fde9c5a (5 xrefs)
[ ] DAT_6fde9ec8 @ 6fde9ec8 (5 xrefs)
[ ] DAT_6fde9ed0 @ 6fde9ed0 (5 xrefs)
[ ] DAT_6fdef5ec @ 6fdef5ec (5 xrefs)
[ ] DAT_6fdef5f8 @ 6fdef5f8 (5 xrefs)
[ ] DAT_6fdef760 @ 6fdef760 (5 xrefs)
[ ] DAT_6fdef930 @ 6fdef930 (5 xrefs)
[ ] DAT_6fdef95c @ 6fdef95c (5 xrefs)
[ ] DAT_6fdefa60 @ 6fdefa60 (5 xrefs)
[ ] DAT_6fdefbdc @ 6fdefbdc (5 xrefs)
[ ] DAT_6fdefd8c @ 6fdefd8c (5 xrefs)
[ ] DAT_6fdefd90 @ 6fdefd90 (5 xrefs)
[ ] DAT_6fdefd98 @ 6fdefd98 (5 xrefs)
[ ] DAT_6fdeff28 @ 6fdeff28 (5 xrefs)
[ ] DAT_6fdeff3c @ 6fdeff3c (5 xrefs)
[ ] DAT_6fdeff7c @ 6fdeff7c (5 xrefs)
[ ] DAT_6fdf0054 @ 6fdf0054 (5 xrefs)
[ ] DAT_6fdf095c @ 6fdf095c (5 xrefs)
[ ] DAT_6fdf0964 @ 6fdf0964 (5 xrefs)
[ ] DAT_6fdf096c @ 6fdf096c (5 xrefs)
[ ] DAT_6fdf0998 @ 6fdf0998 (5 xrefs)
[ ] DAT_6fdf09ac @ 6fdf09ac (5 xrefs)
[ ] DAT_6fdf0a58 @ 6fdf0a58 (5 xrefs)
[ ] DAT_6fdf0a6c @ 6fdf0a6c (5 xrefs)
[ ] DAT_6fdf0a84 @ 6fdf0a84 (5 xrefs)
[ ] DAT_6fdf0a8c @ 6fdf0a8c (5 xrefs)
[ ] DAT_6fdf0ac4 @ 6fdf0ac4 (5 xrefs)
[ ] DAT_6fdf0b04 @ 6fdf0b04 (5 xrefs)
[ ] DAT_6fdf0b18 @ 6fdf0b18 (5 xrefs)
[ ] DAT_6fdf0b90 @ 6fdf0b90 (5 xrefs)
[ ] DAT_6fdf0ba8 @ 6fdf0ba8 (5 xrefs)
[ ] DAT_6fdf13c8 @ 6fdf13c8 (5 xrefs)
[ ] DAT_6fdf13fc @ 6fdf13fc (5 xrefs)
[ ] DAT_6fdf1418 @ 6fdf1418 (5 xrefs)
[ ] DAT_6fdf1444 @ 6fdf1444 (5 xrefs)
[ ] DAT_6fdf144c @ 6fdf144c (5 xrefs)
[ ] DAT_6fdf14c0 @ 6fdf14c0 (5 xrefs)
[ ] DAT_6fdf14cc @ 6fdf14cc (5 xrefs)
[ ] DAT_6fdf1601 @ 6fdf1601 (5 xrefs)
[ ] PTR_`default_constructor_closure'_6fdd9028 @ 6fdd9028 (4 xrefs)
[ ] PTR_GetCPInfo_6fdd912c @ 6fdd912c (4 xrefs)
[ ] PTR_LCMapStringW_6fdd918c @ 6fdd918c (4 xrefs)
